pname,jpname,lat,lon,category,label,Description,popularity
None,京都駅,135.758175895727,34.985260235,station,station,"Kyoto Station is more than just a place to catch a train. A massive ultra-modern complex of glass and steel, it was designed by the award winning architect Hiroshi Hara, and houses an incredible range of shops, restaurants, and recreational facilities.
For detail informatoin: https://www.kyotostation.com/",359
None,清水寺,135.784354656288,34.99466734,temple,"buddha,heritage,maple","Kiyomizudera (清水寺, literally ""Pure Water Temple"") is one of the most celebrated temples of Japan. It was founded in 780 on the site of the Otowa Waterfall in the wooded hills east of Kyoto, and derives its name from the fall's pure waters. The temple was originally associated with the Hosso sect, one of the oldest schools within Japanese Buddhism, but formed its own Kita Hosso sect in 1965. In 1994, the temple was added to the list of UNESCO world heritage sites. Kiyomizudera Temple has best known for its wooden stage that juts out from its main hall, 13 meters above the hillside below. The stage affords visitors a nice view of the numerous cherry and maple trees below that erupt in a sea of color in spring and fall, as well as of the city of Kyoto in the distance. The main hall, which together with the stage was built without the use of nails, houses the temple's primary object of worship, a small statue of the eleven faced, thousand armed Kannon.",246
None,三年坂,135.780959058275,34.99617,street,souvenir,"Sannenzaka, or Sannen-zaka, is a stone-paved pedestrian road and tourist attraction in Higashiyama-ku, Kyoto, Japan. The road is lined with traditional buildings and shops, and is often paired with the similar road, Ninenzaka",206
None,金閣寺,135.729625784751,35.040312985,temple,"buddha,heritage","Kinkakuji (金閣寺, Golden Pavilion) is a Zen temple in northern Kyoto whose top two floors are completely covered in gold leaf. Formally known as Rokuonji, the temple was the retirement villa of the shogun Ashikaga Yoshimitsu, and according to his will it became a Zen temple of the Rinzai sect after his death in 1408. Kinkakuji was the inspiration for the similarly named Ginkakuji (Silver Pavilion), built by Yoshimitsu's grandson, Ashikaga Yoshimasa, on the other side of the city a few decades later. For detail information: https://www.shokoku-ji.jp/en/kinkakuji/",177
None,四条通,135.765486483517,35.00351,street,shopping,"The shopping area along Shijo Street is centered around the intersection of Shijo and Kawaramachi streets where you will find the Takashimaya department store. A Daimaru department store, as well as high end fashion brands like Louis Vuitton, stand nearby. If you continue along Shijo Street across the Kamo River toward Yasaka Shrine, the large stores give way to smaller shops selling fashion and Kyoto specialty foods and crafts.
",142
None,二条城,135.748434499307,35.014023075,castle,heritage,"
Nijo Castle (二条城, Nijōjō) was built in 1603 as the Kyoto residence of Tokugawa Ieyasu, the first shogun of the Edo Period (1603-1867). His grandson Iemitsu completed the castle's palace buildings 23 years later and further expanded the castle by adding a five story castle keep. After the Tokugawa Shogunate fell in 1867, Nijo Castle was used as an imperial palace for a while before being donated to the city and opened up to the public as a historic site. Its palace buildings are arguably the best surviving examples of castle palace architecture of Japan's feudal era, and the castle was designated a UNESCO world heritage site in 1994.
For detail information: https://nijo-jocastle.city.kyoto.lg.jp/?lang=en",120
None,祇園,135.774563544721,35.003695,street,"geiko,sakura","Gion (祇園) is Kyoto's most famous geisha district, located around Shijo Avenue between Yasaka Shrine in the east and the Kamo River in the west. It is filled with shops, restaurants and ochaya (teahouses), where geiko (Kyoto dialect for geisha) and maiko (geiko apprentices) entertain. Gion attracts tourists with its high concentration of traditional wooden machiya merchant houses. Due to the fact that property taxes were formerly based upon street frontage, the houses were built with narrow facades only five to six meters wide, but extend up to twenty meters in from the street.
For detail information: https://www.japan-guide.com/e/e3902.html",112
None,銀閣寺,135.798135624279,35.02695769,temple,"buddha,heritage","Ginkakuji (銀閣寺, Silver Pavilion) is a Zen temple along Kyoto's eastern mountains (Higashiyama). In 1482, shogun Ashikaga Yoshimasa built his retirement villa on the grounds of today's temple, modeling it after Kinkakuji (Golden Pavilion), his grandfather's retirement villa at the base of Kyoto's northern mountains (Kitayama). The villa was converted into a Zen temple after Yoshimasa's death in 1490.
For detail information: https://www.shokoku-ji.jp/en/kinkakuji/",100
None,寺町通商店街,135.767176858336,35.007505,street,shopping,"The shopping area along Shijo Street is centered around the intersection of Shijo and Kawaramachi streets where you will find the Takashimaya department store. A Daimaru department store, as well as high end fashion brands like Louis Vuitton, stand nearby. If you continue along Shijo Street across the Kamo River toward Yasaka Shrine, the large stores give way to smaller shops selling fashion and Kyoto specialty foods and crafts.
For detail information: https://www.japan-guide.com/e/e3958.html",97
None,伏見稲荷大社,135.7743084375,34.96742,jinja,"shinto,thousand torii","Fushimi Inari Shrine (伏見稲荷大社, Fushimi Inari Taisha) is an important Shinto shrine in southern Kyoto. It is famous for its thousands of vermilion torii gates, which straddle a network of trails behind its main buildings. The trails lead into the wooded forest of the sacred Mount Inari, which stands at 233 meters and belongs to the shrine grounds. Fushimi Inari is the most important of several thousands of shrines dedicated to Inari, the Shinto god of rice. Foxes are thought to be Inari's messengers, resulting in many fox statues across the shrine grounds. Fushimi Inari Shrine has ancient origins, predating the capital's move to Kyoto in 794.
For detail information: http://inari.jp/en/",96
