pname,jpname,lat,lon
Enryakuji, 延暦寺,135.8405872,35.06995983
Kōzan-ji, 高山寺,135.6778436,35.06078533
Jingo-ji, 神護寺,135.6694614,35.05415244
Otagi Nenbutsu-ji, 愛宕念仏寺,135.6612515,35.03107476
Adashino Nenbutsu-ji, 化野念仏寺,135.6649956,35.02654696
Giouji Temple, 祇王寺,135.6669941,35.023615
Seiryō-ji, 清涼寺,135.6744596,35.02342578
Nison-in Temple, 二尊院,135.66773,35.02122814
Jōjakkō-ji Temple, 常寂光寺,135.6687192,35.01944012
Torokko Arashiyama Station, トロッコ嵐山駅,135.6703498,35.0171655
Tenryū-ji, 天龍寺,135.6747463,35.01577938
Arashiyama Monkey Park Iwatayama, 嵐山モンキーパーク,135.6750886,35.009805
Hōrin-ji, 法輪寺,135.677234,35.0102292
Arashiyama Bamboo Forest, 竹林の小径,135.6719542,35.017155
Kameyama Park, 嵐山公園 亀山地区,135.6714139,35.014545
Ōkōchi Sansō, 大河内山荘庭園,135.6694956,35.01665
Togetsu-kyō Bridge, 渡月橋,135.6779387,35.01297
Arashiyama Park Nakanoshima Area, 嵐山公園 中之島地区,135.6782278,35.012005
Houkyō-in Temple, 宝筐院,135.6734577,35.02246
Daikaku-ji, 大覚寺,135.6794748,35.02831506
Arashiyama Station, 嵐山駅前,135.6779167,35.01659
Rokuo-in Temple, 鹿王院,135.6844541,35.0163681
Kurumazaki-Jinja Shrine, 車折神社,135.6890773,35.01565966
Toei Kyoto Studio Park, 太秦映画村,135.7083261,35.01632307
Kōryū-ji, 広隆寺,135.7070399,35.01501822
Daisenji Temple, 大仙寺,135.6990808,35.02755
Ninna-ji, 仁和寺,135.7140709,35.03019404
Fukuōji-jinja Shrine, 福王子神社,135.709002,35.029035
Ryōan-ji, 龍安寺,135.7181871,35.03424836
Rengeji, 蓮華寺,135.7160881,35.02934
Kinkaku-ji, 金閣寺,135.7296258,35.04031299
Wara-tenjin, わら天神,135.7316355,35.03619418
Hirano Shrine, 平野神社,135.7324717,35.03230358
Kitano Tenmangū, 北野天満宮,135.7350212,35.03048944
Myōshinji Temple, 妙心寺,135.7202113,35.0237915
Daitoku-ji, 大徳寺,135.7447183,35.04324576
Kamigamo-jinja, 上賀茂神社,135.7524375,35.05975453
Kyoto Botanical Gardens, 京都府立植物園,135.7628285,35.04860815
Shiramine Shrine, 白峯神宮,135.7531049,35.030095
Seimei-Jinja Shrine, 晴明神社,135.7512279,35.027755
Shōkoku-ji, 相国寺,135.7619236,35.03277578
京都御所,,135.7632578,35.0233
Suzumushi temple, 鈴虫寺,135.6850627,34.993545
Nijō Castle, 二条城,135.7484345,35.01402308
Shimogamo-Jinja, 下鴨神社,135.7724833,35.03707374
Kifune Shrine, 貴船神社,135.7628271,35.120945
Kurama-dera, 鞍馬寺,135.7707006,35.11800204
Jakko-in Temple, 寂光院,135.8211772,35.12387507
Sanzen-in Temple, 三千院,135.8334522,35.120135
Shugakuin Imperial Villa, 修学院離宮,135.8019236,35.053855
Manshu-in, 曼殊院門跡,135.8029845,35.04879
Shisen-dō, 詩仙堂,135.7960612,35.04358175
Higashiyama Jisho-ji, 銀閣寺,135.7982662,35.02691
Kyoto University, 京都大学,135.781237,35.02532
Philosopher's Path, 哲学の道,135.794165,35.020915
Hōnen-in, 法然院,135.7973641,35.023615
Anrakuji, 安楽寺,135.7968377,35.02168
Eikan-dō Zenrin-ji, 永観堂,135.7949363,35.01397476
Nanzen-ji, 南禅寺,135.7926197,35.01054774
Heian Shrine, 平安神宮,135.7824886,35.01586285
Okazaki Park, 岡崎公園,135.7831453,35.01425
Shōren-in, 青蓮院,135.7838063,35.00758633
Chion-in, 知恩院,135.7834079,35.00524
Maruyama Park, 円山公園,135.7813376,35.00366
Yasaka Shrine, 八坂神社,135.7786228,35.00375
Kōdaiji Temple, 高台寺,135.7816535,35.0008953
Ryozen Kannon, 霊山観音,135.7817519,34.999895
Kyoto Ryozen Gokoku Shrine, 京都霊山護国神社,135.7831097,34.9998198
Kiyomizu-dera, 清水寺,135.7843547,34.99466734
Nineizaka, 二年坂,135.7808074,34.99851
Sanneizaka, 三年坂,135.7809988,34.996165
Kenninji Temple, 建仁寺,135.7737488,35.00019881
Gion, 祇園,135.7741854,35.00375
Rengeoin Sanjusangendo, 三十三間堂,135.7717616,34.98802689
Chishaku-in, 智積院,135.776788,34.98806095
Toyokuni Shrine, 豊国神社,135.7722153,34.9914
Fushimi Inari Taisha, 伏見稲荷大社,135.7798654,34.96739
Tōfuku-ji, 東福寺,135.7745758,34.97724984
Toji, 東寺,135.7476994,34.98087165
Higashi Honganji, 東本願寺,135.7583821,34.99157899
Kyoto Aquarium, 京都水族館,135.7478108,34.98755
Kyoto Tower, 京都タワー,135.7593324,34.98757
Daigoji, 醍醐寺,135.8222596,34.95124526
Byodoin, 平等院,135.8074373,34.88955458
Kōshō-ji, 仏徳山 興聖寺,135.8133461,34.889845
Mimuroto Temple, 明星山 三室戸寺,135.8188521,34.90071
Manpuku-ji, 萬福寺,135.8068069,34.91410181
Goou Jinja Shinto Shrine, 護王神社,135.7589174,35.02211
Kawaramachi Street, 河原町,135.7657265,35.007265
Mibudera Temple, 壬生寺,135.7437158,35.00162473
Shōgo-in Monzeki, 聖護院,135.7808489,35.01909855
